"Tweet","Polarity"
"['@PRJanarthanan @Gods_Rulee @Muppatimoonu @atgram @icloud_walker @vinoth827 @ssuba_18 @BlitzkriegKK @thanga_magal… https://t.co/6X8hKM2TZ9']","['Positive']"
"['@Gods_Rulee @Muppatimoonu @atgram @kothayinselvan @icloud_walker @vinoth827 @ssuba_18 @BlitzkriegKK @thanga_magal… https://t.co/k7Fb5VXDkZ']","['Positive']"
"['@Muppatimoonu @atgram @kothayinselvan @icloud_walker @vinoth827 @ssuba_18 @BlitzkriegKK @thanga_magal @Being_Silra… https://t.co/OxgQGYVUzl']","['Positive']"
"['@atgram @Gods_Rulee @kothayinselvan @icloud_walker @vinoth827 @ssuba_18 @BlitzkriegKK @thanga_magal @Being_Silra… https://t.co/PqpCPkF9CU']","['Positive']"
"['@Gods_Rulee @Muppatimoonu @kothayinselvan @icloud_walker @vinoth827 @ssuba_18 @BlitzkriegKK @thanga_magal… https://t.co/snyQg45EKZ']","['Positive']"
"['@Muppatimoonu @kothayinselvan @icloud_walker @vinoth827 @atgram @ssuba_18 @BlitzkriegKK @thanga_magal @Being_Silra… https://t.co/T64fFIzdR9']","['Positive']"
"['@kothayinselvan @Gods_Rulee @icloud_walker @vinoth827 @atgram @ssuba_18 @BlitzkriegKK @thanga_magal @Being_Silra… https://t.co/HhQcvbozBI']","['Positive']"
"['@Gods_Rulee @icloud_walker @vinoth827 @atgram @ssuba_18 @BlitzkriegKK @Muppatimoonu @thanga_magal @Being_Silra… https://t.co/OEs6RIWb3A']","['Positive']"
"['@icloud_walker @vinoth827 @atgram @kothayinselvan @ssuba_18 @BlitzkriegKK @Muppatimoonu @thanga_magal @Being_Silra… https://t.co/ox1D6NUmj7']","['Positive']"
"['@PRJanarthanan @vinoth827 @atgram @kothayinselvan @BlitzkriegKK @Gods_Rulee @Muppatimoonu @thanga_magal… https://t.co/FtCu2gjnO2']","['Positive']"
"['@icloud_walker @vinoth827 @atgram @kothayinselvan @ssuba_18 @BlitzkriegKK @Gods_Rulee @Muppatimoonu @thanga_magal… https://t.co/Q7WFJ7O1bP']","['Positive']"
"['RT @icloud_walker: @vinoth827 @atgram @kothayinselvan @ssuba_18 @BlitzkriegKK @Gods_Rulee @Muppatimoonu @thanga_magal @Being_Silra @PRJanar…']","['Positive']"
"['@vinoth827 @atgram @kothayinselvan @ssuba_18 @BlitzkriegKK @Gods_Rulee @Muppatimoonu @thanga_magal @Being_Silra… https://t.co/cNfrI7w519']","['Positive']"
"['@vinoth827 @atgram @kothayinselvan @ssuba_18 @BlitzkriegKK @Gods_Rulee @Muppatimoonu @thanga_magal @Being_Silra… https://t.co/OaeS7WhY1o']","['Positive']"
"['@vinoth827 @atgram @kothayinselvan @ssuba_18 @BlitzkriegKK @Gods_Rulee @Muppatimoonu @thanga_magal @Being_Silra… https://t.co/aKMbz7EdiR']","['Positive']"
